Route ID,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID
1,2B,410,AER,2965,KZN,2990
2,2B,410,ASF,2966,KZN,2990
3,2B,410,ASF,2966,MRV,2962
4,2B,410,CEK,2968,KZN,2990
5,2B,410,CEK,2968,OVB,4078
6,2B,410,DME,4029,KZN,2990
7,2B,410,DME,4029,NBC,6969
8,2B,410,DME,4029,TGK,\N
9,2B,410,DME,4029,UUA,6160
10,2B,410,EGO,6156,KGD,2952
11,2B,410,EGO,6156,KZN,2990
12,2B,410,GYD,2922,NBC,6969
13,2B,410,KGD,2952,EGO,6156
14,2B,410,KZN,2990,AER,2965
15,2B,410,KZN,2990,ASF,2966
16,2B,410,KZN,2990,CEK,2968
17,2B,410,KZN,2990,DME,4029
18,2B,410,KZN,2990,EGO,6156
19,2B,410,KZN,2990,LED,2948
20,2B,410,KZN,2990,SVX,2975
21,2B,410,LED,2948,KZN,2990
22,2B,410,LED,2948,NBC,6969
23,2B,410,LED,2948,UUA,6160
24,2B,410,MRV,2962,ASF,2966
25,2B,410,NBC,6969,DME,4029
26,2B,410,NBC,6969,GYD,2922
27,2B,410,NBC,6969,LED,2948
28,2B,410,NBC,6969,SVX,2975
29,2B,410,NJC,2972,SVX,2975
30,2B,410,NJC,2972,UUA,6160
31,2B,410,NUX,4364,SVX,2975
32,2B,410,OVB,4078,CEK,2968
33,2B,410,OVB,4078,SVX,2975
34,2B,410,SVX,2975,KZN,2990
35,2B,410,SVX,2975,NBC,6969
36,2B,410,SVX,2975,NJC,2972
37,2B,410,SVX,2975,NUX,4364
38,2B,410,SVX,2975,OVB,4078
39,2B,410,TGK,\N,DME,4029
40,2B,410,UUA,6160,DME,4029
41,2B,410,UUA,6160,LED,2948
42,2B,410,UUA,6160,NJC,2972
43,2G,1654,BTK,2936,IKT,2937
44,2G,1654,BTK,2936,OVB,4078
45,2G,1654,CEK,2968,OVB,4078
46,2G,1654,HTA,2935,IKT,2937
47,2G,1654,IKT,2937,BTK,2936
48,2G,1654,IKT,2937,HTA,2935
49,2G,1654,IKT,2937,KCK,\N
50,2G,1654,IKT,2937,ODO,8944
51,2G,1654,IKT,2937,OVB,4078
52,2G,1654,IKT,2937,UKX,6924
53,2G,1654,IKT,2937,ULK,9026
54,2G,1654,IKT,2937,YKS,2923
55,2G,1654,KCK,\N,IKT,2937
56,2G,1654,MJZ,2925,OVB,4078
57,2G,1654,ODO,8944,IKT,2937
58,2G,1654,OVB,4078,BTK,2936
59,2G,1654,OVB,4078,CEK,2968
60,2G,1654,OVB,4078,IKT,2937
61,2G,1654,UKX,6924,IKT,2937
62,2G,1654,ULK,9026,IKT,2937
63,2G,1654,YKS,2923,IKT,2937
64,2I,8359,AYP,2786,LIM,2789
65,2I,8359,CUZ,2812,LIM,2789
66,2I,8359,CUZ,2812,PEM,2808
67,2I,8359,HUU,6067,LIM,2789
68,2I,8359,IQT,2801,PCL,2781
69,2I,8359,IQT,2801,TPP,2806
70,2I,8359,LIM,2789,AYP,2786
71,2I,8359,LIM,2789,CUZ,2812
72,2I,8359,LIM,2789,HUU,6067
73,2I,8359,LIM,2789,PCL,2781
74,2I,8359,LIM,2789,TPP,2806
75,2I,8359,PCL,2781,IQT,2801
76,2I,8359,PCL,2781,LIM,2789
77,2I,8359,PCL,2781,TPP,2806
78,2I,8359,PEM,2808,CUZ,2812
79,2I,8359,TPP,2806,IQT,2801
80,2I,8359,TPP,2806,LIM,2789
81,2I,8359,TPP,2806,PCL,2781
82,2J,470,ABJ,253,BOY,247
83,2J,470,ABJ,253,OUA,246
84,2J,470,ACC,248,OUA,246
85,2J,470,BKO,1044,ABJ,253
86,2J,470,BKO,1044,DKR,1084
87,2J,470,BKO,1044,OUA,246
88,2J,470,BOY,247,ABJ,253
89,2J,470,BOY,247,OUA,246
90,2J,470,COO,245,LFW,298
91,2J,470,COO,245,OUA,246
92,2J,470,DKR,1084,BKO,1044
93,2J,470,DKR,1084,OUA,246
94,2J,470,LFW,298,OUA,246
95,2J,470,NIM,280,OUA,246
96,2J,470,OUA,246,ABJ,253
97,2J,470,OUA,246,ACC,248
98,2J,470,OUA,246,BKO,1044
99,2J,470,OUA,246,BOY,247
100,2J,470,OUA,246,COO,245
101,2J,470,OUA,246,DKR,1084
102,2J,470,OUA,246,LFW,298
103,2J,470,OUA,246,NIM,280
104,2K,1338,BOG,2709,GYE,2673
105,2K,1338,BOG,2709,UIO,2688
106,2K,1338,CLO,2715,GYE,2673
107,2K,1338,GYE,2673,BOG,2709
108,2K,1338,GYE,2673,CLO,2715
109,2K,1338,GYE,2673,SCY,6045
110,2K,1338,GYE,2673,UIO,2688
111,2K,1338,OCC,2670,UIO,2688
112,2K,1338,SCY,6045,GYE,2673
113,2K,1338,UIO,2688,BOG,2709
114,2K,1338,UIO,2688,GYE,2673
115,2K,1338,UIO,2688,OCC,2670
116,2L,2750,BDS,1506,ZRH,1678
117,2L,2750,BOD,1264,ZRH,1678
118,2L,2750,BRS,490,ZRH,1678
119,2L,2750,GVA,1665,LPA,1054
120,2L,2750,LCA,1197,ZRH,1678
121,2L,2750,LPA,1054,ZRH,1678
122,2L,2750,RMF,4197,ZRH,1678
123,2L,2750,TFS,1056,GVA,1665
124,2L,2750,ZRH,1678,BDS,1506
125,2L,2750,ZRH,1678,BOD,1264
126,2L,2750,ZRH,1678,BRS,490
127,2L,2750,ZRH,1678,LCA,1197
